Mutant,Form,Category,EP,BVA,DTT,Valid,Witness
M01,Registration,Partition,0,0,1,1,DT-REG-03
M02,Registration,Partition,1,0,0,1,EP-REG-07
M03,Registration,Boundary,0,1,0,1,BVA-REG-USER-02
M04,Registration,Boundary,0,1,0,1,BVA-REG-AGE-05
M05,Registration,Decision-rule,1,0,1,1,EP-REG-10
M06,Registration,Decision-rule,1,1,1,1,EP-REG-02
M07,Shipping,Partition,1,0,0,1,EP-SHIP-02
M08,Shipping,Partition,1,0,0,1,EP-SHIP-03
M09,Shipping,Boundary,0,1,0,1,BVA-SHIP-COUPON-02
M10,Shipping,Boundary,0,1,0,1,BVA-SHIP-FREE-02
M11,Shipping,Decision-rule,0,1,1,1,BVA-SHIP-VIP-01
M12,Shipping,Decision-rule,1,0,1,1,EP-SHIP-08
M13,Loan,Partition,1,0,0,1,EP-LOAN-04
M14,Loan,Partition,1,0,0,1,EP-LOAN-08
M15,Loan,Boundary,0,1,0,1,BVA-LOAN-INCOME-02
M16,Loan,Boundary,0,1,0,1,BVA-LOAN-MAX-02
M17,Loan,Decision-rule,1,0,1,1,EP-LOAN-09
M18,Loan,Decision-rule,1,1,1,1,EP-LOAN-10
